baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PF3D7_0422800	66.7084369338122	-0.899085484545475	0.404109993535319	-2.22485337885339	0.0260910826310001	0.0800342162799412
PF3D7_0926300	95.4170126340635	0.0141996348781638	0.350568196670318	0.0405046293789092	0.967690816361399	0.980012482054041
PF3D7_1215600	40.0092567625011	-2.05024514662173	0.520279588057964	-3.94066035585718	8.12576100018685e-05	0.000684161427123482
PF3D7_1444700	175.489577369995	-0.258817181156591	0.299457402070738	-0.864287138560872	0.387430173680232	0.55971033181716
PF3D7_0523800	250.414469149293	1.07096204179423	0.270835529733936	3.95428931664294	7.67624781903689e-05	0.000657500149730583
PF3D7_1459700	200.011840590338	-0.187640309216704	0.265118940084765	-0.707758974733041	0.479094947067073	0.642157356074854
PF3D7_1409000	147.015438271729	0.399598963653525	0.308185533656357	1.29661817319141	0.194762596360199	0.35121791884665
PF3D7_1447100	248.823918760655	0.596335377918158	0.265291431193011	2.24785012933305	0.0245857481028571	0.076684119082721
PF3D7_1026000	537.165649633334	1.51040291701506	0.216726590215831	6.96916292325229	3.18832303026595e-12	1.33969724309477e-10
PF3D7_1366000	17.2438881467131	-1.67786963003634	0.804213539316607	-2.08634839878738	0.0369470755402634	0.104816735322505
PF3D7_0919800	223.6437707764	0.515406542019237	0.256702787840847	2.00779487575641	0.0446650935985319	0.120422716033814
PF3D7_0205000	23.026362999612	-0.111311079333104	0.612381065012013	-0.181767669989797	0.855765057426523	0.912168704412702
PF3D7_1354200	80.669355454098	-0.62447252647258	0.372451658752597	-1.67665390070766	0.0936101800778672	0.209202078307486
PF3D7_0610800	1333.9599241062	-0.428235850057006	0.190918006288574	-2.24303541809318	0.024894530643744	0.0774314298602152
PF3D7_1353200	114.28843718262	2.66745508119774	0.364182289593116	7.32450522011369	2.39781729880291e-13	1.16085633139871e-11
PF3D7_0914300	79.4380363855953	-0.142195950092314	0.371041831641667	-0.383234282407379	0.701546061149006	0.812502114022212
PF3D7_0605000	140.864142847275	0.506172704194253	0.296207703735446	1.70884382077495	0.0874798831451907	0.198456312011466
PF3D7_0410900	60.9115453328857	0.554533777770434	0.401324556937123	1.38175889858969	0.167045742985852	0.317196506980413
PF3D7_1113700	138.922468783145	-0.765269118776932	0.340867952808498	-2.24506033046429	0.0247642598111619	0.0771328763628776
PF3D7_1129400	339.954562266841	0.56446726798321	0.233812425067009	2.41418850098081	0.0157703012007438	0.0544925690830978
PF3D7_1215000	94.1330056505142	-0.139748138830746	0.337239356330064	-0.414388582493826	0.678589549238864	0.795378382186816
PF3D7_0607000	1916.31769658393	0.781072484721931	0.200804272759334	3.88972044264245	0.00010035976758438	0.000821695597097112
PF3D7_0519600	207.906153543182	-0.0322930009946332	0.263592757675324	-0.122510956975569	0.902494368946816	0.93808866261123
PF3D7_1460600	20.6055630777101	0.609582499362692	0.663402521953277	0.918872749485304	0.358162134898318	0.534395737856089
PF3D7_1321700	481.736863929207	0.0749253108333764	0.219817888520284	0.34085174476809	0.733215193757824	0.834800734406275
PF3D7_0820000	357.797036485297	0.993229836542526	0.294777488085813	3.36942228184462	0.000753259300547412	0.00468577782770695
PF3D7_0623900	175.760069617904	0.0243308498493629	0.303963455982244	0.0800453125877876	0.936201217331725	0.960571348075444
PF3D7_0311900	80.4122060009469	-0.323038816239427	0.367282702174025	-0.879537245634741	0.379110047564941	0.553262172953555
PF3D7_1437700	138.0323011905	-0.161756506239943	0.322444493391021	-0.501656903917985	0.615908884281285	0.751989630095626
PF3D7_1307100	121.167233669418	1.15873404884238	0.362034729156554	3.20061572971723	0.00137134285857115	0.00764450699884346
PF3D7_0532400	243.541470902571	0.984107668893304	0.695316328783656	1.41533806722883	0.156969398779969	0.303710556979142
PF3D7_0527500	1757.06321564449	-0.625928851945925	0.187671065511679	-3.33524430225487	0.000852244909364524	0.0052220814797104
PF3D7_1110300	208.817562010716	-0.111063571495268	0.263378163201166	-0.421688609812495	0.673252319347442	0.791755093427288
PF3D7_1214700	56.0836401055495	-0.3850440839865	0.416927149067483	-0.923528450588324	0.35573188096754	0.532581444648546
